device_id,machine_type,line,zone,timestamp,temperature_c,vibration_rms,rpm,pressure_bar,flow_lpm,current_a,oil_temp_c,humidity_pct,power_kw
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:06:40.873439+00:00,50.74,1.433,95.8,,,13.415,,59.05,3.019
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:07:10.874393+00:00,63.81,2.155,1496.5,4.363,295.08,29.636,,,11.945
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:07:10.874441+00:00,76.63,2.729,2983.8,7.748,,34.978,70.2,,19.203
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:07:10.874463+00:00,70.18,1.724,11135.3,,,25.673,63.44,,8.275
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:07:10.874482+00:00,84.87,3.069,3549.3,9.933,125.11,42.196,,,22.708
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:07:10.874504+00:00,70.66,6.373,204.0,,,19.025,,59.06,5.887
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:07:40.875405+00:00,63.84,2.295,1490.9,4.395,294.12,30.367,,,11.839
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:07:40.875453+00:00,77.12,2.634,2990.1,7.857,,35.33,70.51,,19.205
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:07:40.875474+00:00,70.49,1.921,11188.0,,,26.107,63.39,,8.192
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:07:40.875492+00:00,84.87,3.218,3561.4,9.988,126.89,42.123,,,22.809
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:07:40.875510+00:00,51.5,1.554,95.3,,,13.718,,59.05,3.21
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:07:50.876208+00:00,64.29,2.171,1496.3,4.478,293.68,30.137,,,11.728
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:07:50.876257+00:00,77.08,2.748,2996.1,7.844,,36.08,70.61,,19.321
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:07:50.876280+00:00,70.55,1.931,11225.0,,,26.464,63.38,,8.483
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:07:50.876299+00:00,85.49,3.339,3559.9,10.057,129.31,42.355,,,23.086
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:07:50.876316+00:00,51.58,1.458,92.3,,,14.011,,59.31,3.145
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:08:00.877361+00:00,64.13,2.242,1504.3,4.438,296.36,29.919,,,11.828
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:08:00.877413+00:00,77.41,2.699,2999.3,7.854,,35.94,70.77,,19.35
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:08:00.877433+00:00,71.04,1.992,11271.9,,,26.751,63.84,,8.3
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:08:00.877451+00:00,86.07,3.27,3563.3,10.065,127.02,42.83,,,22.922
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:08:00.877471+00:00,78.59,6.224,263.4,,,21.85,,59.71,4.925
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:08:10.878042+00:00,64.81,2.25,1505.1,4.433,294.23,30.758,,,11.898
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:08:10.878081+00:00,77.23,2.743,2999.1,7.837,,35.553,70.76,,19.704
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:08:10.878098+00:00,71.48,1.976,11312.9,,,26.077,64.28,,8.7
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:08:10.878112+00:00,85.56,3.284,3571.9,10.13,129.73,42.98,,,22.906
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:08:10.878124+00:00,51.85,1.627,96.9,,,13.637,,60.23,3.14
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:08:40.878719+00:00,64.55,2.256,1506.6,4.451,296.94,30.202,,,12.025
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:08:40.878774+00:00,77.74,2.847,3007.0,7.866,,36.236,70.74,,19.426
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:08:40.878806+00:00,89.64,6.439,11455.2,,,34.038,68.98,,10.05
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:08:40.878829+00:00,86.31,3.315,3572.7,10.078,127.36,43.489,,,22.915
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:08:40.878847+00:00,51.83,1.513,100.9,,,14.396,,60.15,3.167
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:09:00.879667+00:00,65.52,2.316,1501.6,4.576,295.63,30.561,,,11.952
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:09:00.879703+00:00,78.29,2.783,3008.6,7.847,,35.797,71.26,,19.66
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:09:00.879718+00:00,72.27,1.907,11383.9,,,26.257,64.05,,8.511
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:09:00.879732+00:00,86.47,3.402,3584.2,10.088,127.41,42.989,,,22.952
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:09:00.879744+00:00,52.15,1.536,92.7,,,14.385,,60.01,3.159
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:09:30.880702+00:00,65.01,2.319,1500.2,4.554,294.54,30.5,,,12.046
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:09:30.880749+00:00,78.43,2.774,3016.5,7.983,,35.997,70.83,,19.416
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:09:30.880770+00:00,72.85,1.982,11428.2,,,26.897,64.49,,8.658
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:09:30.880789+00:00,86.81,3.372,3579.4,10.056,129.69,43.384,,,23.094
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:09:30.880806+00:00,52.36,1.644,92.0,,,14.217,,60.78,3.497
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:09:40.881832+00:00,65.59,2.297,1509.1,4.481,295.53,31.023,,,11.954
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:09:40.881901+00:00,78.24,2.943,3012.6,8.019,,36.436,71.44,,19.486
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:09:40.881924+00:00,73.03,1.928,11453.6,,,26.72,64.38,,8.685
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:09:40.881943+00:00,86.81,3.359,3582.8,10.065,129.6,43.792,,,22.912
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:09:40.881961+00:00,52.43,1.554,95.7,,,14.399,,60.2,3.167
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:09:50.882800+00:00,65.42,2.408,1513.9,4.519,295.13,30.942,,,12.075
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:09:50.882837+00:00,78.51,2.751,3012.8,7.996,,36.761,71.22,,19.61
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:09:50.882852+00:00,72.7,1.906,11483.9,,,26.72,64.31,,8.531
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:09:50.882865+00:00,86.42,3.283,3586.3,10.128,126.52,43.604,,,23.099
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:09:50.882877+00:00,52.54,1.465,94.6,,,13.991,,60.24,3.186
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:10:10.883594+00:00,65.61,2.252,1509.0,4.537,296.02,31.002,,,12.221
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:10:10.883634+00:00,79.04,2.862,3023.7,8.0,,36.401,71.62,,19.429
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:10:10.883651+00:00,73.44,1.956,11516.9,,,26.393,64.16,,8.472
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:10:10.883665+00:00,87.09,3.406,3596.4,10.077,127.67,43.609,,,23.106
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:10:10.883677+00:00,52.58,1.57,99.4,,,14.282,,60.68,3.321
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:10:30.884222+00:00,66.26,2.205,1506.9,4.507,292.58,30.443,,,12.187
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:10:30.884259+00:00,79.17,2.788,3017.0,7.957,,36.017,71.23,,19.601
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:10:30.884275+00:00,73.59,1.877,11541.9,,,26.914,64.31,,8.606
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:10:30.884288+00:00,86.6,3.333,3590.0,10.179,127.76,43.188,,,23.126
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:10:30.884301+00:00,52.81,1.499,101.4,,,14.636,,60.48,3.274
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:10:40.885054+00:00,66.08,2.234,1513.4,4.562,293.84,30.195,,,11.767
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:10:40.885106+00:00,78.68,2.763,3022.3,7.906,,35.861,71.31,,19.311
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:10:40.885139+00:00,73.53,1.853,11565.6,,,26.352,64.1,,8.63
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:10:40.885169+00:00,87.31,3.342,3592.3,10.103,124.01,43.316,,,22.962
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:10:40.885189+00:00,52.84,1.487,98.7,,,13.661,,60.34,3.12
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:11:10.885884+00:00,65.8,2.23,1509.0,4.585,292.42,30.099,,,11.715
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:11:10.885931+00:00,79.15,2.626,3020.1,7.91,,36.008,71.09,,19.471
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:11:10.885953+00:00,73.15,1.849,11580.8,,,26.637,64.77,,8.179
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:11:10.885972+00:00,87.46,3.245,3592.7,10.063,124.18,43.071,,,23.063
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:11:10.885989+00:00,53.02,1.492,102.9,,,13.705,,61.12,2.882
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:11:20.886818+00:00,66.31,2.121,1515.8,4.553,291.97,30.13,,,11.965
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:11:20.886855+00:00,79.29,2.73,3022.5,7.937,,35.544,71.73,,19.132
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:11:20.886871+00:00,73.49,1.835,11607.6,,,26.553,64.18,,8.26
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:11:20.886883+00:00,87.12,3.094,3602.4,10.078,122.6,42.531,,,22.619
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:11:20.886896+00:00,52.49,1.482,98.3,,,13.996,,60.41,3.091
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:11:30.887764+00:00,66.26,2.235,1519.4,4.473,288.85,30.464,,,11.894
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:11:30.887806+00:00,78.81,2.601,3024.3,7.927,,36.058,70.96,,19.387
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:11:30.887822+00:00,73.28,1.735,11617.2,,,25.787,64.03,,8.371
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:11:30.887835+00:00,87.03,3.17,3604.5,10.198,120.93,42.498,,,22.675
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:11:30.887847+00:00,52.51,1.462,93.7,,,14.118,,61.3,3.09
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:11:40.888582+00:00,66.23,2.176,1508.3,4.546,287.21,30.429,,,11.532
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:11:40.888630+00:00,79.09,2.481,3028.9,7.951,,36.029,71.59,,19.208
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:11:40.888651+00:00,73.76,1.756,11629.2,,,26.359,64.65,,8.013
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:11:40.888668+00:00,87.46,3.055,3604.8,10.062,122.5,42.871,,,22.801
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:11:40.888684+00:00,52.58,1.364,94.7,,,13.682,,60.58,2.845
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:12:00.889523+00:00,65.71,2.076,1513.2,4.433,286.68,30.053,,,11.315
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:12:00.889560+00:00,79.43,2.476,3027.9,7.841,,35.56,70.86,,19.115
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:12:00.889576+00:00,73.6,1.629,11639.6,,,25.987,63.85,,7.9
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:12:00.889590+00:00,87.03,3.059,3605.6,10.115,121.13,41.896,,,22.616
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:12:00.889603+00:00,75.8,8.193,265.0,,,17.785,,61.48,4.886
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:12:20.890145+00:00,84.92,8.632,1608.0,5.131,251.6,36.513,,,14.044
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:12:20.890185+00:00,78.9,2.525,3032.1,7.885,,35.402,71.29,,18.757
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:12:20.890201+00:00,73.51,1.564,11642.7,,,25.796,64.03,,7.797
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:12:20.890215+00:00,87.22,2.878,3607.8,10.125,117.31,42.335,,,22.463
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:12:20.890227+00:00,52.39,1.415,104.0,,,13.437,,60.56,2.585
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:12:40.891267+00:00,65.62,1.994,1515.9,4.483,284.59,29.018,,,11.209
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:12:40.891309+00:00,78.69,2.301,3032.2,7.799,,34.539,71.18,,18.761
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:12:40.891325+00:00,73.67,1.575,11643.4,,,25.282,63.94,,7.607
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:12:40.891340+00:00,103.36,9.896,3762.0,11.284,88.3,49.387,,,24.961
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:12:40.891354+00:00,52.93,1.196,96.3,,,12.517,,60.66,2.418
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:12:50.892039+00:00,66.2,1.806,1519.5,4.431,283.76,28.846,,,11.169
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:12:50.892086+00:00,78.75,2.357,3035.8,7.899,,35.046,70.76,,18.565
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:12:50.892108+00:00,72.83,1.504,11649.9,,,25.395,63.95,,7.643
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:12:50.892127+00:00,86.97,2.658,3599.9,10.056,113.95,41.61,,,22.047
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:12:50.892147+00:00,67.77,6.084,217.4,,,18.192,,61.21,4.858
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:13:00.892892+00:00,65.81,1.755,1514.3,4.345,280.25,28.614,,,11.125
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:13:00.892929+00:00,78.53,2.217,3031.1,7.729,,34.618,70.91,,18.408
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:13:00.892944+00:00,73.28,1.609,11650.5,,,24.845,63.52,,7.595
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:13:00.892958+00:00,86.44,2.612,3605.9,9.967,114.42,41.796,,,21.924
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:13:00.892970+00:00,52.59,1.174,98.8,,,12.139,,60.53,2.393
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:13:10.893859+00:00,65.8,1.709,1512.2,4.395,279.41,28.867,,,10.976
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:13:10.893906+00:00,78.28,2.166,3030.5,7.732,,34.261,70.74,,18.407
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:13:10.893928+00:00,72.91,1.467,11644.8,,,24.931,63.33,,7.572
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:13:10.893946+00:00,86.86,2.612,3599.3,9.998,112.17,41.462,,,21.889
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:13:10.893963+00:00,52.1,1.179,92.4,,,11.953,,61.22,2.181
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:13:40.894506+00:00,65.4,1.699,1519.3,4.284,278.08,28.31,,,10.745
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:13:40.894555+00:00,77.88,2.033,3027.7,7.734,,33.689,70.67,,18.369
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:13:40.894578+00:00,72.73,1.348,11639.2,,,24.731,63.51,,7.094
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:13:40.894598+00:00,113.84,8.455,3750.0,10.971,82.88,46.167,,,23.439
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:13:40.894615+00:00,52.28,1.231,94.1,,,12.286,,60.78,2.034
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:14:10.895239+00:00,64.78,1.696,1508.2,4.278,278.46,28.092,,,10.803
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:14:10.895285+00:00,78.46,1.913,3023.9,7.679,,33.615,70.64,,17.974
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:14:10.895307+00:00,72.46,1.363,11624.9,,,23.726,63.2,,7.307
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:14:10.895326+00:00,86.44,2.447,3598.5,9.886,111.15,40.186,,,21.776
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:14:10.895344+00:00,52.15,1.142,99.5,,,11.461,,59.84,1.724
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:14:50.896664+00:00,65.34,1.643,1511.2,4.36,276.73,28.115,,,10.468
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:14:50.896714+00:00,77.52,2.024,3027.5,7.734,,33.723,70.14,,17.898
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:14:50.896735+00:00,72.22,1.289,11610.4,,,24.053,63.28,,7.037
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:14:50.896754+00:00,86.52,2.27,3606.7,9.908,108.36,40.661,,,21.415
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:14:50.896770+00:00,51.56,1.03,101.9,,,11.214,,60.34,1.87
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:15:00.897732+00:00,64.91,1.509,1514.6,4.239,275.37,27.83,,,10.35
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:15:00.897785+00:00,77.87,1.821,3030.6,7.726,,33.219,70.3,,17.848
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:15:00.897808+00:00,71.74,1.367,11589.5,,,23.981,63.05,,7.106
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:15:00.897831+00:00,102.46,6.384,3694.5,11.03,71.29,47.696,,,23.431
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:15:00.897851+00:00,51.6,0.94,102.0,,,11.373,,60.46,1.576
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:15:20.898413+00:00,64.39,1.485,1514.9,4.174,274.97,27.646,,,10.287
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:15:20.898459+00:00,77.26,1.818,3018.9,7.63,,32.344,70.13,,17.999
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:15:20.898481+00:00,70.93,1.24,11571.9,,,22.899,62.43,,6.779
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:15:20.898499+00:00,85.3,2.178,3593.2,9.777,107.36,39.404,,,21.387
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:15:20.898516+00:00,51.57,1.006,99.5,,,11.263,,60.18,1.413
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:15:30.899493+00:00,64.01,1.376,1513.7,4.129,273.32,26.617,,,10.114
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:15:30.899541+00:00,77.0,1.858,3021.5,7.584,,32.047,69.52,,17.937
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:15:30.899566+00:00,70.73,1.222,11552.9,,,22.866,62.6,,6.799
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:15:30.899588+00:00,113.13,7.915,3763.1,10.508,71.26,47.357,,,23.624
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:15:30.899606+00:00,51.79,1.011,102.5,,,10.852,,60.16,1.324
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:16:00.900161+00:00,63.87,1.416,1508.2,4.227,275.04,26.418,,,10.031
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:16:00.900198+00:00,76.44,1.622,3020.1,7.534,,32.664,69.32,,17.615
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:16:00.900213+00:00,70.64,1.229,11528.0,,,23.111,61.99,,6.607
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:16:00.900227+00:00,85.46,2.038,3595.6,9.8,105.89,39.17,,,21.189
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:16:00.900239+00:00,51.6,0.886,102.9,,,10.144,,60.13,1.303
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:16:30.901089+00:00,63.5,1.345,1514.1,4.083,274.83,26.888,,,10.179
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:16:30.901126+00:00,76.27,1.643,3022.5,7.465,,32.031,68.87,,17.566
