device_id,machine_type,window_index,window_start,window_end,anomaly_score,risk_level,temperature_c_mean,temperature_c_std,temperature_c_min,temperature_c_max,vibration_rms_mean,vibration_rms_std,vibration_rms_min,vibration_rms_max,rpm_mean,rpm_std,rpm_min,rpm_max,pressure_bar_mean,pressure_bar_std,pressure_bar_min,pressure_bar_max,flow_lpm_mean,flow_lpm_std,flow_lpm_min,flow_lpm_max,current_a_mean,current_a_std,current_a_min,current_a_max,oil_temp_c_mean,oil_temp_c_std,oil_temp_c_min,oil_temp_c_max,humidity_pct_mean,humidity_pct_std,humidity_pct_min,humidity_pct_max,power_kw_mean,power_kw_std,power_kw_min,power_kw_max
mix-pump-101,centrifugal_pump,24,2026-03-15T13:13:41.152550+00:00,2026-03-15T13:47:11.239769+00:00,0.0,low,63.8105,5.6917,57.76,89.71,2.043,1.276,1.155,8.799,1489.2031,34.0341,1441.3,1627.0,4.2815,0.3294,3.779,5.563,283.9999,9.7919,249.97,297.25,27.8681,2.1872,24.805,33.674,,,,,,,,,11.1019,0.9881,9.735,14.513
mix-pump-101,centrifugal_pump,25,2026-03-15T13:21:21.175139+00:00,2026-03-15T13:56:01.261060+00:00,0.0,low,62.9218,4.8475,57.76,89.71,1.8467,0.898,1.155,8.201,1485.5177,31.4796,1441.5,1627.0,4.1469,0.311,3.779,5.563,283.7471,8.5649,250.12,297.25,28.7032,1.968,24.853,33.674,,,,,,,,,10.9112,0.8471,9.735,12.994
mix-pump-101,centrifugal_pump,26,2026-03-15T13:29:21.197980+00:00,2026-03-15T14:05:11.283492+00:00,0.0,low,63.0025,4.7768,58.1,89.71,1.973,0.8715,1.169,8.201,1480.6594,32.0661,1441.5,1627.0,4.2528,0.2959,3.798,5.563,284.6076,8.606,250.12,297.25,27.6912,2.0957,24.853,33.674,,,,,,,,,11.1794,0.7918,9.735,12.994
mix-pump-101,centrifugal_pump,27,2026-03-15T13:38:21.219670+00:00,2026-03-15T14:13:01.305774+00:00,0.0,low,63.6771,4.7582,58.1,89.71,1.8105,0.8852,1.169,8.201,1479.8958,31.4778,1441.5,1627.0,4.2519,0.301,3.798,5.563,283.7109,8.5638,250.12,297.25,28.2097,2.1161,24.861,33.674,,,,,,,,,10.8484,0.791,9.735,12.994
mix-pump-101,centrifugal_pump,28,2026-03-15T13:47:31.240503+00:00,2026-03-15T14:20:51.328327+00:00,0.0,low,63.3625,3.9116,58.1,85.88,1.9119,0.6875,1.171,7.562,1483.1875,30.8605,1441.5,1649.0,4.1364,0.2548,3.798,4.897,285.0746,7.9662,269.65,297.15,28.4005,2.1193,24.876,35.639,,,,,,,,,11.1636,0.8023,9.746,13.589
mix-pump-101,centrifugal_pump,29,2026-03-15T13:56:11.261756+00:00,2026-03-15T14:29:31.350807+00:00,0.0,low,62.9285,4.0567,58.1,85.88,1.7961,0.709,1.171,7.562,1485.7031,28.7229,1442.7,1649.0,4.2652,0.2499,3.837,4.897,284.3163,8.0879,269.65,297.15,27.4664,2.0849,24.822,35.639,,,,,,,,,10.9362,0.8576,9.707,13.589
mix-pump-101,centrifugal_pump,30,2026-03-15T14:05:21.284578+00:00,2026-03-15T14:36:51.373673+00:00,0.0,low,63.8441,4.9408,58.52,87.18,1.9668,1.0897,1.171,7.73,1484.2448,34.651,1442.7,1649.0,4.2523,0.2951,3.837,5.604,284.1974,8.9209,250.3,297.15,28.6307,2.3494,24.822,37.079,,,,,,,,,11.0733,0.9455,9.707,13.824
mix-pump-101,centrifugal_pump,31,2026-03-15T14:13:21.306443+00:00,2026-03-15T14:44:31.395850+00:00,0.0,low,64.5194,5.4237,58.52,87.18,2.0586,1.2519,1.183,8.123,1481.1177,34.6506,1442.7,1649.0,4.1731,0.3137,3.782,5.604,283.544,9.5761,247.92,297.15,28.0543,2.4915,24.822,37.079,,,,,,,,,11.16,0.9436,9.707,13.824
mix-pump-101,centrifugal_pump,32,2026-03-15T14:21:01.329042+00:00,2026-03-15T14:51:01.418472+00:00,0.0,low,64.0018,4.9129,58.52,87.18,1.9113,1.1248,1.183,8.123,1482.2521,31.8158,1442.7,1627.2,4.2938,0.2964,3.782,5.604,284.0272,9.5717,247.92,297.18,27.9002,2.3827,24.822,37.079,,,,,,,,,10.9465,0.891,9.707,13.824
mix-pump-101,centrifugal_pump,33,2026-03-15T14:29:51.351732+00:00,2026-03-15T14:59:11.440969+00:00,0.0,low,63.929,5.1825,58.66,87.18,2.1357,1.3263,1.193,9.406,1487.6333,31.3641,1443.0,1627.2,4.2314,0.3297,3.782,5.627,283.5055,10.1702,247.92,297.18,28.7711,2.3588,24.947,37.079,,,,,,,,,11.2574,0.8991,9.807,14.489
mix-pump-101,centrifugal_pump,34,2026-03-15T14:37:01.374652+00:00,2026-03-15T15:06:41.464435+00:00,0.0,low,64.2308,4.4486,58.71,85.07,1.8944,1.1323,1.173,9.406,1484.9698,31.7258,1440.3,1602.2,4.1667,0.306,3.782,5.627,283.9491,9.7459,247.92,297.18,27.6249,2.1824,24.947,36.418,,,,,,,,,10.9274,0.873,9.764,14.489
mix-pump-101,centrifugal_pump,35,2026-03-15T14:45:01.396369+00:00,2026-03-15T15:15:01.488374+00:00,0.0,low,64.5438,4.7593,58.71,87.62,2.0384,1.1499,1.173,9.406,1480.6635,31.8767,1440.3,1602.2,4.2997,0.3129,3.788,5.627,283.9903,9.6319,249.1,297.18,28.4495,2.2915,24.977,36.418,,,,,,,,,11.2208,0.9157,9.764,14.504
mix-pump-101,centrifugal_pump,36,2026-03-15T14:51:21.419333+00:00,2026-03-15T15:22:51.510050+00:00,0.0,low,64.0483,4.7915,58.71,87.62,1.9407,1.1723,1.173,9.406,1480.5896,31.7811,1440.3,1602.2,4.2023,0.3172,3.788,5.627,283.78,9.5754,249.1,297.02,28.3745,2.2835,24.977,36.418,,,,,,,,,11.0389,0.952,9.764,14.504
mix-pump-101,centrifugal_pump,37,2026-03-15T14:59:21.441886+00:00,2026-03-15T15:30:31.534062+00:00,0.0,low,64.2295,5.252,59.03,89.2,1.9465,1.0941,1.173,8.697,1485.8583,32.0625,1440.3,1602.2,4.1831,0.3196,3.782,5.579,284.2498,9.8757,239.77,297.02,27.73,2.2908,24.883,36.123,,,,,,,,,11.0826,0.9578,9.764,14.504
mix-pump-101,centrifugal_pump,38,2026-03-15T15:07:11.465336+00:00,2026-03-15T15:39:01.556609+00:00,0.0,low,64.8597,5.2191,59.03,89.2,2.0076,1.1,1.174,8.697,1487.3844,28.8354,1440.8,1595.5,4.3038,0.3316,3.782,5.579,283.6143,10.046,239.77,296.68,28.7812,2.2527,24.883,36.123,,,,,,,,,11.1814,0.9507,9.829,14.504
mix-pump-101,centrifugal_pump,39,2026-03-15T15:15:11.489485+00:00,2026-03-15T15:47:51.579416+00:00,0.0,low,64.7468,5.069,59.03,89.2,1.8621,0.9589,1.174,8.188,1482.9792,30.588,1440.8,1587.3,4.1934,0.3268,3.78,5.579,284.3386,10.258,239.77,296.68,27.8059,2.2477,24.883,36.123,,,,,,,,,10.9335,0.9074,9.829,14.371
mix-pump-101,centrifugal_pump,40,2026-03-15T15:23:21.511039+00:00,2026-03-15T15:56:51.601153+00:00,0.0,low,64.3182,5.2012,59.03,89.2,2.0234,0.9306,1.174,8.188,1479.9271,28.7724,1440.8,1587.3,4.211,0.3193,3.78,5.579,283.5664,10.1496,239.77,297.37,28.0816,2.2651,24.883,36.123,,,,,,,,,11.2261,0.8779,9.839,14.371
mix-pump-101,centrifugal_pump,41,2026-03-15T15:31:01.534938+00:00,2026-03-15T16:05:01.624792+00:00,0.0,low,65.2056,5.5818,59.26,87.66,1.9621,1.0653,1.172,7.894,1485.8417,38.9388,1440.8,1656.4,4.3417,0.3819,3.78,5.867,283.7026,10.9477,243.94,297.37,28.7253,2.4058,25.01,36.37,,,,,,,,,10.9521,0.842,9.839,13.598
mix-pump-101,centrifugal_pump,42,2026-03-15T15:39:31.557517+00:00,2026-03-15T16:13:11.646336+00:00,0.0,low,65.7794,5.9666,59.26,92.87,2.0911,1.0737,1.172,7.894,1490.2615,38.2386,1443.5,1656.4,4.2149,0.4044,3.779,5.867,282.9125,10.9053,243.94,297.37,27.7223,2.411,24.836,36.37,,,,,,,,,11.203,0.8587,9.839,13.838
mix-pump-101,centrifugal_pump,43,2026-03-15T15:48:11.580494+00:00,2026-03-15T16:20:41.669750+00:00,0.0,low,65.2671,5.6127,59.26,92.87,1.9819,1.0172,1.172,7.894,1486.55,39.4565,1440.2,1656.4,4.2459,0.3874,3.779,5.867,284.1779,10.4064,243.94,297.37,28.6768,2.353,24.836,36.37,,,,,,,,,11.0606,0.8493,9.782,13.838
mix-pump-101,centrifugal_pump,44,2026-03-15T15:57:11.602094+00:00,2026-03-15T16:28:51.692548+00:00,0.0,low,65.4303,5.9891,59.26,92.87,2.1136,1.4241,1.172,9.246,1485.1,46.1685,1440.2,1656.4,4.3398,0.4141,3.779,5.867,282.2489,11.3053,240.27,297.07,28.3269,2.5324,24.812,36.37,,,,,,,,,11.111,0.9713,9.782,14.819
mix-pump-101,centrifugal_pump,45,2026-03-15T16:05:31.625450+00:00,2026-03-15T16:36:31.714614+00:00,0.0,low,65.2661,4.57,59.81,92.87,2.0383,1.1778,1.185,9.246,1481.7073,38.2599,1440.2,1654.7,4.1654,0.335,3.778,5.678,284.4121,9.9886,240.27,297.23,27.7902,2.1178,24.812,33.474,,,,,,,,,11.1921,0.9437,9.782,14.819
mix-pump-101,centrifugal_pump,46,2026-03-15T16:13:21.647771+00:00,2026-03-15T16:44:11.737444+00:00,0.0,low,65.6292,4.9981,59.81,91.34,1.961,1.2593,1.185,9.246,1488.2385,41.3979,1440.2,1661.0,4.251,0.331,3.778,5.678,282.8856,10.8507,239.03,297.23,28.8598,2.3467,24.812,38.178,,,,,,,,,10.968,0.9654,9.782,14.819
mix-pump-101,centrifugal_pump,47,2026-03-15T16:20:51.670798+00:00,2026-03-15T16:52:01.761259+00:00,0.0,low,65.1567,5.0381,59.81,91.34,2.1219,1.2246,1.211,9.246,1489.5469,40.3129,1439.2,1661.0,4.2997,0.3293,3.778,5.678,283.829,10.9945,239.03,297.23,27.7744,2.5196,24.756,38.178,,,,,,,,,11.2791,0.9312,9.792,14.819
mix-pump-101,centrifugal_pump,48,2026-03-15T16:29:01.693411+00:00,2026-03-15T17:01:01.782493+00:00,0.0,low,64.856,4.6287,59.96,91.34,1.8363,0.7377,1.195,7.001,1481.5333,34.5566,1439.2,1661.0,4.1459,0.3025,3.778,5.329,283.7389,9.668,239.03,297.23,28.2891,2.455,24.756,38.178,,,,,,,,,10.9225,0.8518,9.784,14.08
mix-pump-101,centrifugal_pump,49,2026-03-15T16:36:41.715748+00:00,2026-03-15T17:09:21.805347+00:00,0.0,low,65.4723,4.6292,59.96,91.34,1.9418,0.7342,1.195,7.001,1478.6792,32.6079,1439.2,1661.0,4.2472,0.2921,3.795,5.329,284.6019,9.6765,239.03,297.03,28.4371,2.428,24.756,38.178,,,,,,,,,11.1555,0.8692,9.784,14.08
mix-pump-101,centrifugal_pump,50,2026-03-15T16:44:31.738438+00:00,2026-03-15T17:17:11.828543+00:00,0.0,low,65.4493,4.7371,59.96,92.35,1.9111,0.8794,1.185,8.757,1481.9156,32.3254,1439.2,1628.6,4.259,0.3052,3.795,5.876,283.7319,9.543,242.38,297.03,27.5756,2.153,24.756,35.89,,,,,,,,,11.0479,0.8456,9.769,12.978
mix-pump-101,centrifugal_pump,51,2026-03-15T16:52:31.762352+00:00,2026-03-15T17:26:31.850243+00:00,0.0,low,65.2233,5.158,59.96,92.35,1.9313,1.0346,1.185,8.757,1486.9802,30.3576,1441.1,1628.6,4.1507,0.3311,3.795,5.876,284.094,10.1202,242.38,296.99,28.7188,2.165,24.795,35.958,,,,,,,,,10.9935,0.8988,9.769,14.158
mix-pump-101,centrifugal_pump,52,2026-03-15T17:01:11.783556+00:00,2026-03-15T17:34:21.873840+00:00,0.0,low,65.9927,5.3749,60.28,92.35,2.1323,1.1797,1.185,8.757,1486.8469,34.591,1441.0,1628.6,4.3016,0.375,3.8,5.97,282.9343,11.3726,242.38,296.99,28.0781,2.3434,24.795,35.958,,,,,,,,,11.2298,0.8644,9.769,14.158
mix-pump-101,centrifugal_pump,53,2026-03-15T17:09:41.806440+00:00,2026-03-15T17:42:51.896311+00:00,0.0,low,66.8028,6.0982,60.28,93.14,2.0386,1.2773,1.185,8.757,1484.151,37.248,1441.0,1633.5,4.2904,0.4101,3.8,5.97,283.0842,11.6884,242.38,297.47,28.1817,2.3543,24.795,35.958,,,,,,,,,10.9522,0.8848,9.753,14.158
mix-pump-101,centrifugal_pump,54,2026-03-15T17:17:41.829345+00:00,2026-03-15T17:50:51.919197+00:00,0.0,low,66.2908,5.8492,60.28,94.87,2.1454,1.1447,1.21,7.724,1484.3031,36.7151,1441.0,1641.6,4.1848,0.3937,3.779,5.97,283.0585,11.6326,233.58,297.47,28.8189,2.2641,25.139,38.506,,,,,,,,,11.2564,0.8608,9.753,14.158
mix-pump-101,centrifugal_pump,55,2026-03-15T17:27:01.851162+00:00,2026-03-15T17:59:01.940949+00:00,0.0,low,66.0733,6.0548,60.38,94.87,2.0126,1.1621,1.151,7.724,1489.8448,38.9135,1441.0,1658.0,4.315,0.3729,3.779,5.97,283.1515,11.918,233.58,297.47,27.7986,2.3528,24.786,38.506,,,,,,,,,10.9754,0.8703,9.753,13.545
mix-pump-101,centrifugal_pump,56,2026-03-15T17:34:41.874486+00:00,2026-03-15T18:07:51.963203+00:00,0.0,low,66.4524,5.5518,60.66,94.87,2.0431,1.0708,1.151,7.724,1489.1125,37.5595,1441.7,1658.0,4.2428,0.3305,3.779,5.908,283.4072,11.0873,233.58,297.47,28.5734,2.3038,24.786,38.506,,,,,,,,,11.1247,0.8856,9.753,13.545
mix-pump-101,centrifugal_pump,57,2026-03-15T17:43:11.897374+00:00,2026-03-15T18:16:51.987185+00:00,0.0,low,66.4183,4.926,60.66,94.87,1.9832,0.99,1.151,7.724,1482.4917,36.2203,1441.7,1658.0,4.1621,0.2981,3.779,5.202,283.6658,10.8673,233.58,296.89,28.2779,2.3358,24.786,38.506,,,,,,,,,11.0824,0.8719,9.767,13.545
mix-pump-101,centrifugal_pump,58,2026-03-15T17:51:21.919838+00:00,2026-03-15T18:25:02.011859+00:00,0.0,low,65.6657,3.9516,60.66,84.53,1.8691,0.7989,1.151,6.789,1479.4177,31.1725,1441.7,1658.0,4.2849,0.2831,3.795,5.202,284.4342,9.545,245.3,296.89,27.6759,2.0822,24.786,33.614,,,,,,,,,10.9356,0.8222,9.767,13.048
mix-pump-101,centrifugal_pump,59,2026-03-15T17:59:21.941889+00:00,2026-03-15T18:35:42.035534+00:00,0.0,low,65.5479,3.334,60.83,77.21,1.9351,0.5988,1.207,6.387,1481.899,27.4771,1441.7,1568.0,4.1845,0.2676,3.795,5.202,284.4986,8.6868,255.54,296.92,28.6214,1.9136,25.002,32.911,,,,,,,,,11.1649,0.764,9.767,13.048
mix-pump-101,centrifugal_pump,60,2026-03-15T18:08:01.964051+00:00,2026-03-15T18:43:02.060370+00:00,0.0,low,66.0116,3.1959,60.83,70.48,1.7285,0.3793,1.207,2.446,1483.5135,23.8719,1442.2,1520.1,4.1352,0.2498,3.78,4.62,285.3141,8.1385,272.47,296.92,27.6109,1.9439,24.873,31.165,,,,,,,,,10.8333,0.7291,9.767,12.229
mix-pump-101,centrifugal_pump,61,2026-03-15T18:17:01.988339+00:00,2026-03-15T18:51:22.085447+00:00,0.0,low,65.9599,3.1756,60.83,70.78,1.8796,0.3884,1.234,2.446,1480.3135,26.7607,1439.3,1520.1,4.2638,0.259,3.78,4.62,284.5231,7.9906,272.47,297.4,28.0291,2.0181,24.873,31.165,,,,,,,,,11.1461,0.7685,9.843,12.229
mix-pump-101,centrifugal_pump,62,2026-03-15T18:25:32.012559+00:00,2026-03-15T18:58:42.109299+00:00,0.0,low,65.519,3.3344,60.83,70.78,1.7489,0.4076,1.165,2.442,1476.0844,24.145,1439.3,1518.9,4.1537,0.252,3.779,4.602,285.2902,7.8759,272.87,297.4,28.3813,1.9737,24.873,31.165,,,,,,,,,10.8934,0.8112,9.731,12.221
mix-pump-101,centrifugal_pump,63,2026-03-15T18:35:52.036656+00:00,2026-03-15T19:07:22.131803+00:00,0.0,low,65.9123,3.0378,61.25,70.78,1.8072,0.4146,1.165,2.442,1478.0792,26.264,1439.3,1518.9,4.1612,0.251,3.779,4.602,284.4886,7.789,272.87,297.49,27.4025,1.9187,24.824,31.141,,,,,,,,,11.0221,0.8471,9.731,12.281
mix-pump-101,centrifugal_pump,64,2026-03-15T18:43:12.061933+00:00,2026-03-15T19:14:02.153316+00:00,0.0,low,66.4436,3.3403,61.25,70.92,1.8229,0.4089,1.165,2.442,1483.1312,24.9133,1439.3,1518.9,4.2745,0.2517,3.779,4.602,285.4285,7.7231,272.8,297.49,28.4816,2.0047,24.824,31.227,,,,,,,,,11.0646,0.8261,9.731,12.281
mix-pump-101,centrifugal_pump,65,2026-03-15T18:51:42.086372+00:00,2026-03-15T19:21:42.174739+00:00,0.0,low,66.24,3.6542,61.25,84.43,1.7812,0.5997,1.165,6.246,1484.1302,26.1192,1441.4,1564.4,4.1577,0.2611,3.778,4.976,284.1475,8.9522,239.95,297.49,27.9177,2.164,24.824,33.556,,,,,,,,,10.917,0.8048,9.731,12.817
mix-pump-101,centrifugal_pump,66,2026-03-15T18:59:02.110248+00:00,2026-03-15T19:29:22.195612+00:00,0.0,low,66.0182,3.7802,61.36,84.43,1.9282,0.5758,1.184,6.246,1479.0729,26.7509,1441.4,1564.4,4.1943,0.2596,3.778,4.976,285.101,8.8923,239.95,297.49,27.7214,2.1333,24.824,33.556,,,,,,,,,11.2122,0.749,9.773,12.817
